,sentiment,Text,Polarity,Subjectivity,Tokens,vander_positive,vander_negative,vsentiment,afn_score,afn_sentiment
0,1,have bought several vitality canned food products have found them good quality product looks more like stew than processed meat smells better labrador finicky appreciates this product better than most,0.45,0.43333333333333335,"['bought', 'several', 'vitality', 'canned', 'food', 'products', 'found', 'good', 'quality', 'product', 'looks', 'like', 'stew', 'processed', 'meat', 'smells', 'better', 'labrador', 'finicky', 'appreciates', 'product', 'better']",41.6,0.0,Positive,16.0,Positive
1,0,product arrived labeled jumbo salted peanuts peanuts were actually small sized unsalted sure this error vendor intended represent product jumbo,0.21666666666666667,0.762962962962963,"['product', 'arrived', 'labeled', 'jumbo', 'salted', 'peanuts', 'peanuts', 'actually', 'small', 'sized', 'unsalted', 'sure', 'error', 'vendor', 'intended', 'represent', 'product', 'jumbo']",9.8,13.3,Negative,-2.0,Negative
2,0,this confection that been around centuries light pillowy citrus gelatin with nuts this case filberts into tiny squares then liberally coated with powdered sugar tiny mouthful heaven chewy very flavorful highly recommend this yummy treat familiar with story lewis lion witch wardrobe this treat that seduces edmund into selling brother sisters witch,0.1891666666666667,0.5066666666666667,"['confection', 'around', 'centuries', 'light', 'pillowy', 'citrus', 'gelatin', 'nuts', 'case', 'filberts', 'tiny', 'squares', 'liberally', 'coated', 'powdered', 'sugar', 'tiny', 'mouthful', 'heaven', 'chewy', 'flavorful', 'highly', 'recommend', 'yummy', 'treat', 'familiar', 'story', 'lewis', 'lion', 'witch', 'wardrobe', 'treat', 'seduces', 'edmund', 'selling', 'brother', 'sisters', 'witch']",23.9,10.8,Positive,4.0,Positive
3,0,looking secret ingredient robitussin believe have found this addition root beer extract ordered which good made some cherry soda flavor very medicinal,0.16666666666666666,0.5333333333333333,"['looking', 'secret', 'ingredient', 'robitussin', 'believe', 'found', 'addition', 'root', 'beer', 'extract', 'ordered', 'good', 'made', 'cherry', 'soda', 'flavor', 'medicinal']",12.1,0.0,Positive,3.0,Positive
4,1,great taffy great price there wide assortment yummy taffy delivery very quick your taffy lover this deal,0.48333333333333334,0.6375,"['great', 'taffy', 'great', 'price', 'wide', 'assortment', 'yummy', 'taffy', 'delivery', 'quick', 'taffy', 'lover', 'deal']",54.2,0.0,Positive,9.0,Positive
5,0,wild hair taffy ordered this five pound taffy very enjoyable with many flavors watermelon root beer melon peppermint grape only complaint there much black licorice flavored pieces just particular favorites between kids husband this lasted only weeks would recommend this brand taffy delightful treat,0.21666666666666667,0.6274074074074074,"['wild', 'hair', 'taffy', 'ordered', 'five', 'pound', 'taffy', 'enjoyable', 'many', 'flavors', 'watermelon', 'root', 'beer', 'melon', 'peppermint', 'grape', 'complaint', 'much', 'black', 'licorice', 'flavored', 'pieces', 'particular', 'favorites', 'kids', 'husband', 'lasted', 'weeks', 'would', 'recommend', 'brand', 'taffy', 'delightful', 'treat']",27.200000000000003,4.0,Positive,7.0,Positive
6,1,this saltwater taffy great flavors very soft chewy each candy individually wrapped well none candies were stuck together which happen expensive version fralinger would highly recommend this candy served beach themed party everyone loved,0.215,0.6074999999999999,"['saltwater', 'taffy', 'great', 'flavors', 'soft', 'chewy', 'candy', 'individually', 'wrapped', 'well', 'none', 'candies', 'stuck', 'together', 'happen', 'expensive', 'version', 'fralinger', 'would', 'highly', 'recommend', 'candy', 'served', 'beach', 'themed', 'party', 'everyone', 'loved']",38.2,0.0,Positive,6.0,Positive
7,1,this taffy good very soft chewy flavors amazing would definitely recommend buying very satisfying,0.41600000000000004,0.6910000000000001,"['taffy', 'good', 'soft', 'chewy', 'flavors', 'amazing', 'would', 'definitely', 'recommend', 'buying', 'satisfying']",62.8,0.0,Positive,9.0,Positive
8,1,right mostly just sprouting this cats grass they love rotate around with wheatgrass,0.42857142857142855,0.5452380952380952,"['right', 'mostly', 'sprouting', 'cats', 'grass', 'love', 'rotate', 'around', 'wheatgrass']",25.900000000000002,0.0,Positive,3.0,Positive
9,1,this very healthy food good their digestion also good small puppies eats required amount every feeding,0.44999999999999996,0.5625,"['healthy', 'food', 'good', 'digestion', 'also', 'good', 'small', 'puppies', 'eats', 'required', 'amount', 'every', 'feeding']",41.099999999999994,0.0,Positive,8.0,Positive
